CRUISE,VESSEL,YEAR,SEASON,STATION,STRATUM,TOW,OPERATION_STATUS,SHG,TOGA,TYPE_CODE,TYPE_COMMENT,OPERATION_CODE,OPERATION_COMMENT,GEAR_CODE,GEAR_COMMENT,ACQUISITION_CODE,ACQUISITION_COMMENT,DECDEG_BEGLAT,DECDEG_BEGLON,DECDEG_ENDLAT,DECDEG_ENDLON,TOW_DURATION (min),BEGIN_TOW_DATE,BEGIN_TOW_TIME,END_TOW_DATE,END_TOW_TIME,AVG_DEPTH (m),BOTTOM_TEMP (deg C),BOTTOM_SALINITY (PSU),SURFACE_TEMP (deg C),SURFACE_SALINITY (PSU),SVSPP,LOGGED_SPECIES_NAME,EXPANDED_CATCH_WT (kg),EXPANDED_CATCH_NUMBER
196307,AL,1963,FALL,16,1370,1,Representative,111,,, ,, ,, ,, ,42.933333,-69.416667,,,30,11/15/1963,13:21,11/15/1963 0:00,1:51:00 PM,157,6.3,,8.9,,84,Brosme brosme (cusk),21,4
196307,AL,1963,FALL,18,1370,3,Representative,111,,, ,, ,, ,, ,42.716667,-69.05,,,30,11/15/1963,18:33,11/15/1963 0:00,7:03:00 PM,153,6.4,,8.8,,84,Brosme brosme (cusk),6.8,4
196307,AL,1963,FALL,23,1280,5,Representative,123,,, ,, ,, ,, ,42.283333,-68.733333,,,30,11/16/1963,12:30,11/16/1963 0:00,1:00:00 PM,201,6.6,,9.9,,84,Brosme brosme (cusk),9.5,3
196307,AL,1963,FALL,24,1280,6,Representative,123,,, ,, ,, ,, ,42.633333,-68.583333,,,30,11/16/1963,17:15,11/16/1963 0:00,5:45:00 PM,200,7.1,,9.4,,84,Brosme brosme (cusk),2.3,1
196307,AL,1963,FALL,30,1380,5,Representative,123,,, ,, ,, ,, ,43.716667,-68.433333,,,30,11/17/1963,13:54,11/17/1963 0:00,2:24:00 PM,174,7.3,,7.7,,84,Brosme brosme (cusk),10.4,2
196307,AL,1963,FALL,33,1360,1,Representative,111,,, ,, ,, ,, ,42.85,-68.366667,,,30,11/18/1963,6:05,11/18/1963 0:00,6:35:00 AM,174,6.6,,8.7,,84,Brosme brosme (cusk),1.4,1
196307,AL,1963,FALL,37,1290,4,Representative,123,,, ,, ,, ,, ,42.716667,-67.766667,,,30,11/18/1963,19:30,11/18/1963 0:00,8:00:00 PM,192,6.9,,8.3,,84,Brosme brosme (cusk),5,2
196307,AL,1963,FALL,38,1360,2,Representative,123,,, ,, ,, ,, ,42.983333,-67.85,,,30,11/18/1963,22:00,11/18/1963 0:00,10:30:00 PM,191,6.9,,8.5,,84,Brosme brosme (cusk),7.3,2
196307,AL,1963,FALL,39,1360,3,Representative,111,,, ,, ,, ,, ,43.116667,-68.083333,,,30,11/18/1963,23:48,11/19/1963 0:00,12:18:00 AM,172,6.6,,9,,84,Brosme brosme (cusk),6.4,1
196307,AL,1963,FALL,40,1360,4,Representative,123,,, ,, ,, ,, ,43.4,-67.9,,,30,11/19/1963,2:54,11/19/1963 0:00,3:24:00 AM,242,6.4,,8.8,,84,Brosme brosme (cusk),14.1,3
196307,AL,1963,FALL,43,1360,5,Representative,123,,, ,, ,, ,, ,43.866667,-67.7,,,30,11/19/1963,11:53,11/19/1963 0:00,12:23:00 PM,208,7.3,,7.8,,84,Brosme brosme (cusk),3.2,1
196307,AL,1963,FALL,45,1340,2,Representative,111,,, ,, ,, ,, ,43.95,-66.983333,,,30,11/19/1963,17:20,11/19/1963 0:00,5:50:00 PM,172,7.3,,7.3,,84,Brosme brosme (cusk),4.5,3
