,CRUISE,STATION,STATION_ID,STRATUM,AREA,BOTTOM_TYPE,COMMON_NAME,SVSPP,SEX,LENGTH
1,24141,25,360-2,36,515,ROUGH,CUSK,84,0,56
2,24141,25,360-2,36,515,ROUGH,CUSK,84,0,53
3,24141,25,360-2,36,515,ROUGH,CUSK,84,0,48
4,24141,25,360-2,36,515,ROUGH,CUSK,84,0,52
5,24141,27,360-3,36,515,ROUGH,CUSK,84,0,66
6,24141,27,360-3,36,515,ROUGH,CUSK,84,0,53
7,24141,27,360-3,36,515,ROUGH,CUSK,84,0,67
8,24141,27,360-3,36,515,ROUGH,CUSK,84,0,65
9,24141,27,360-3,36,515,ROUGH,CUSK,84,0,55
10,24141,27,360-3,36,515,ROUGH,CUSK,84,0,52
11,24141,28,360-1,36,515,ROUGH,CUSK,84,0,60
12,24141,28,360-1,36,515,ROUGH,CUSK,84,0,49
13,24141,28,360-1,36,515,ROUGH,CUSK,84,0,38
14,24141,28,360-1,36,515,ROUGH,CUSK,84,0,41
15,24141,28,360-1,36,515,ROUGH,CUSK,84,0,55
16,24141,28,360-1,36,515,ROUGH,CUSK,84,0,56
17,24141,28,360-1,36,515,ROUGH,CUSK,84,0,59
18,24141,28,360-1,36,515,ROUGH,CUSK,84,0,58
19,24141,28,360-1,36,515,ROUGH,CUSK,84,0,52
20,24141,28,360-1,36,515,ROUGH,CUSK,84,0,49
21,24141,28,360-1,36,515,ROUGH,CUSK,84,0,46
22,24141,28,360-1,36,515,ROUGH,CUSK,84,0,50
23,24141,28,360-1,36,515,ROUGH,CUSK,84,0,44
24,24141,28,360-1,36,515,ROUGH,CUSK,84,0,62
25,24141,28,360-1,36,515,ROUGH,CUSK,84,0,55
26,24141,28,360-1,36,515,ROUGH,CUSK,84,0,73
27,24141,28,360-1,36,515,ROUGH,CUSK,84,0,48
28,24141,28,360-1,36,515,ROUGH,CUSK,84,0,47
29,24141,28,360-1,36,515,ROUGH,CUSK,84,0,48
30,24141,28,360-1,36,515,ROUGH,CUSK,84,0,44
31,24141,28,360-1,36,515,ROUGH,CUSK,84,0,43
32,24141,28,360-1,36,515,ROUGH,CUSK,84,0,40
33,24141,28,360-1,36,515,ROUGH,CUSK,84,0,54
34,24141,28,360-1,36,515,ROUGH,CUSK,84,0,55
35,24141,28,360-1,36,515,ROUGH,CUSK,84,0,60
36,24141,28,360-1,36,515,ROUGH,CUSK,84,0,51
37,24141,28,360-1,36,515,ROUGH,CUSK,84,0,55
38,24141,28,360-1,36,515,ROUGH,CUSK,84,0,51
39,24141,28,360-1,36,515,ROUGH,CUSK,84,0,63
40,24141,28,360-1,36,515,ROUGH,CUSK,84,0,54
41,24141,28,360-1,36,515,ROUGH,CUSK,84,0,58
42,24141,28,360-1,36,515,ROUGH,CUSK,84,0,64
43,24141,28,360-1,36,515,ROUGH,CUSK,84,0,58
44,24141,28,360-1,36,515,ROUGH,CUSK,84,0,48
45,24141,28,360-1,36,515,ROUGH,CUSK,84,0,42
46,24141,28,360-1,36,515,ROUGH,CUSK,84,0,60
47,24141,28,360-1,36,515,ROUGH,CUSK,84,0,70
48,24141,28,360-1,36,515,ROUGH,CUSK,84,0,44
49,24141,28,360-1,36,515,ROUGH,CUSK,84,0,45
50,24141,28,360-1,36,515,ROUGH,CUSK,84,0,52
51,24141,28,360-1,36,515,ROUGH,CUSK,84,0,47
52,24141,28,360-1,36,515,ROUGH,CUSK,84,0,46
53,24141,28,360-1,36,515,ROUGH,CUSK,84,0,49
54,24141,28,360-1,36,515,ROUGH,CUSK,84,0,40
55,24141,28,360-1,36,515,ROUGH,CUSK,84,0,44
56,24141,28,360-1,36,515,ROUGH,CUSK,84,0,67
57,24141,28,360-1,36,515,ROUGH,CUSK,84,0,62
58,24141,28,360-1,36,515,ROUGH,CUSK,84,0,45
59,24141,28,360-1,36,515,ROUGH,CUSK,84,0,55
60,24141,28,360-1,36,515,ROUGH,CUSK,84,0,52
61,24141,28,360-1,36,515,ROUGH,CUSK,84,0,45
62,24141,28,360-1,36,515,ROUGH,CUSK,84,0,35
63,24141,28,360-1,36,515,ROUGH,CUSK,84,0,52
64,24141,28,360-1,36,515,ROUGH,CUSK,84,0,40
65,24141,28,360-1,36,515,ROUGH,CUSK,84,0,49
66,24141,28,360-1,36,515,ROUGH,CUSK,84,0,47
67,24141,28,360-1,36,515,ROUGH,CUSK,84,0,45
68,24141,28,360-1,36,515,ROUGH,CUSK,84,0,44
69,24141,28,360-1,36,515,ROUGH,CUSK,84,0,36
70,24141,28,360-1,36,515,ROUGH,CUSK,84,0,62
71,24141,28,360-1,36,515,ROUGH,CUSK,84,0,42
72,24141,28,360-1,36,515,ROUGH,CUSK,84,0,54
73,24141,28,360-1,36,515,ROUGH,CUSK,84,0,54
74,24141,28,360-1,36,515,ROUGH,CUSK,84,0,51
75,24141,28,360-1,36,515,ROUGH,CUSK,84,0,54
76,24141,28,360-1,36,515,ROUGH,CUSK,84,0,56
77,24141,28,360-1,36,515,ROUGH,CUSK,84,0,50
78,24141,28,360-1,36,515,ROUGH,CUSK,84,0,44
79,24141,28,360-1,36,515,ROUGH,CUSK,84,0,48
80,24141,28,360-1,36,515,ROUGH,CUSK,84,0,41
81,24141,28,360-1,36,515,ROUGH,CUSK,84,0,42
82,24141,22,360-6,36,515,ROUGH,CUSK,84,0,38
83,24141,22,360-6,36,515,ROUGH,CUSK,84,0,41
84,24141,22,360-6,36,515,ROUGH,CUSK,84,0,40
85,24141,22,360-6,36,515,ROUGH,CUSK,84,0,39
86,24141,22,360-6,36,515,ROUGH,CUSK,84,0,41
87,24141,22,360-6,36,515,ROUGH,CUSK,84,0,40
88,24141,22,360-6,36,515,ROUGH,CUSK,84,0,42
89,24141,22,360-6,36,515,ROUGH,CUSK,84,0,42
90,24141,22,360-6,36,515,ROUGH,CUSK,84,0,41
91,24141,22,360-6,36,515,ROUGH,CUSK,84,0,44
