CRUISE,STATION,STATION_ID,COMMON_NAME,SVSPP,SEX,LENWT,LENNUM,CATCHWT,CATCHNUM
24151,3,280-5,CUSK,84,0,5.4,3,5.4,3
24151,5,270-2,CUSK,84,0,11.7,5,11.7,5
24151,8,270-5,CUSK,84,0,5.5,1,5.5,1
24151,9,370-2,CUSK,84,0,4.7,2,4.7,2
24151,10,370-3,CUSK,84,0,36.3,18,41.4,20
24151,13,360-6,CUSK,84,0,2.4,1,2.4,1
24151,16,290-4,CUSK,84,0,2.7,1,2.7,1
24151,17,290-2,CUSK,84,0,4,2,4,2
24151,18,291-1,CUSK,84,0,10.7,3,10.7,3
24151,19,290-6,CUSK,84,0,13.2,5,13.2,5
24151,20,290-1,CUSK,84,0,5.1,2,5.1,2
24151,21,291-2,CUSK,84,0,7.6,2,7.6,2
25151,4,260-3,CUSK,84,0,10.7,5,10.7,5
25151,6,260-2,CUSK,84,0,2.1,1,2.1,1
25151,9,260-1,CUSK,84,0,15.3,10,15.3,10
25151,13,370-6,CUSK,84,0,35.6,20,35.6,20
25151,14,370-4,CUSK,84,0,8.6,4,8.6,4
25151,15,370-1,CUSK,84,0,4.8,1,4.8,1
25151,16,370-5,CUSK,84,0,5.5,2,5.5,2
25151,19,290-3,CUSK,84,0,16.1,8,16.1,8
25151,20,360-2,CUSK,84,0,93.4,59,93.4,59
25151,21,360-5,CUSK,84,0,28.6,19,28.6,19
25151,23,360-3,CUSK,84,0,4.6,2,4.6,2
25151,24,360-1,CUSK,84,0,11.6,6,11.6,6
24152,1,270-1,CUSK,84,0,10.8,6,10.8,6
24152,3,270-4,CUSK,84,0,25.6,10,25.6,10
24152,5,270-3,CUSK,84,0,0.9,1,0.9,1
24152,6,270-5,CUSK,84,0,103.8,60,103.8,60
24152,8,290-6,CUSK,84,0,4.1,2,4.1,2
24152,9,290-2,CUSK,84,0,3.6,2,3.6,2
24152,11,280-5,CUSK,84,0,2,1,2,1
24152,16,290-4,CUSK,84,0,3.2,1,3.2,1
24152,17,290-5,CUSK,84,0,82.2,35,82.2,35
24152,18,290-3,CUSK,84,0,4.5,2,4.5,2
24152,20,291-2,CUSK,84,0,3.4,2,3.4,2
24152,21,360-5,CUSK,84,0,16.5,8,16.5,8
24152,22,371-1,CUSK,84,0,13.1,3,13.1,3
24152,23,280-2,CUSK,84,0,11,4,11,4
25152,4,260-3,CUSK,84,0,1.7,1,1.7,1
25152,7,270-2,CUSK,84,0,4.8,2,4.8,2
25152,8,260-4,CUSK,84,0,12.9,7,12.9,7
25152,10,360-1,CUSK,84,0,3.3,1,3.3,1
25152,11,360-4,CUSK,84,0,14.2,7,14.2,7
25152,12,360-6,CUSK,84,0,48.8,20,48.8,20
25152,13,360-2,CUSK,84,0,5,1,5,1
25152,15,360-3,CUSK,84,0,5.6,2,5.6,2
25152,17,370-6,CUSK,84,0,51,21,51,21
25152,18,370-5,CUSK,84,0,37.6,14,37.6,14
25152,19,370-2,CUSK,84,0,166.3,62,166.3,62
25152,20,370-1,CUSK,84,0,5.4,1,5.4,1
25152,22,370-3,CUSK,84,0,17.7,6,17.7,6
