"","CRUISE","STATION","STATION_ID","STRATUM","AREA","BOTTOM_TYPE","COMMON_NAME","SVSPP","SEX","LENGTH"
"1",25151,4,"260-3",26,514,"ROUGH","CUSK",84,0,68
"2",25151,4,"260-3",26,514,"ROUGH","CUSK",84,0,56
"3",25151,6,"260-2",26,514,"ROUGH","CUSK",84,0,57
"4",25151,4,"260-3",26,514,"ROUGH","CUSK",84,0,54
"5",25151,4,"260-3",26,514,"ROUGH","CUSK",84,0,57
"6",25151,4,"260-3",26,514,"ROUGH","CUSK",84,0,58
"7",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,70
"8",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,56
"9",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,53
"10",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,50
"11",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,60
"12",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,57
"13",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,61
"14",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,53
"15",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,64
"16",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,52
"17",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,60
"18",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,59
"19",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,50
"20",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,64
"21",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,56
"22",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,62
"23",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,53
"24",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,63
"25",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,65
"26",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,68
"27",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,69
"28",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,57
"29",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,54
"30",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,68
"31",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,60
"32",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,56
"33",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,64
"34",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,73
"35",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,56
"36",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,64
"37",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,64
"38",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,72
"39",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,53
"40",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,54
"41",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,63
"42",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,59
"43",25152,19,"370-2",37,515,"ROUGH","CUSK",84,0,59
