YEAR,CRUISE,STATION,STATION_ID,STRATUM,AREA,BOTTOM_TYPE,VESSEL_NAME,BEGIN_SET_DATE,BEGIN_SET_TIME,END_SET_DATE,END_SET_TIME,BEGIN_HAUL_DATE,BEGIN_HAUL_TIME,END_HAUL_DATE,END_HAUL_TIME,DECDEG_BEGLAT_SET,DECDEG_BEGLON_SET,DECDEG_ENDLAT_SET,DECDEG_ENDLON_SET
2015,24151,1,281-2,28,521,SMOOTH,TENACIOUS II,4/26/2015,15:15:00,4/26/2015,15:27,4/26/2015,17:34,4/26/2015,18:18,42.11327,-69.3431,42.09658,-69.338
2015,24151,2,280-3,28,515,ROUGH,TENACIOUS II,4/26/2015,21:27:00,4/26/2015,21:39,4/26/2015,23:41,4/27/2015,12:22,42.33989,-68.8222,42.35801,-68.8258
2015,24151,3,280-5,28,515,ROUGH,TENACIOUS II,4/27/2015,10:04:00,4/27/2015,10:13,4/27/2015,12:18,4/27/2015,13:02,42.57253,-68.8759,42.55785,-68.8675
2015,24151,4,281-1,28,515,SMOOTH,TENACIOUS II,4/27/2015,16:00:00,4/27/2015,16:11,4/27/2015,18:14,4/27/2015,18:58,42.55981,-69.1511,42.54375,-69.1488
2015,24151,5,270-2,27,514,ROUGH,TENACIOUS II,4/29/2015,17:55:00,4/29/2015,18:05,4/29/2015,20:08,4/29/2015,20:57,42.63464,-70.0185,42.61799,-70.0109
2015,24151,6,270-1,27,521,ROUGH,TENACIOUS II,4/30/2015,12:04:00,4/30/2015,12:14,4/30/2015,2:17,4/30/2015,3:01,42.2679,-69.9182,42.25137,-69.9211
2015,24151,7,270-3,27,521,ROUGH,TENACIOUS II,4/30/2015,12:17:00,4/30/2015,12:27,4/30/2015,14:33,4/30/2015,15:20,42.13018,-69.8091,42.11392,-69.8142
2015,24151,8,270-5,27,521,ROUGH,TENACIOUS II,4/30/2015,18:47:00,4/30/2015,18:56,4/30/2015,20:59,4/30/2015,21:41,42.11611,-69.859,42.10002,-69.8601
2015,24151,9,370-2,37,515,ROUGH,TENACIOUS II,5/2/2015,7:55:00,5/2/2015,8:08,5/2/2015,10:09,5/2/2015,10:52,42.71767,-69.0303,42.70191,-69.027
2015,24151,10,370-3,37,515,ROUGH,TENACIOUS II,5/2/2015,14:07:00,5/2/2015,14:20,5/2/2015,16:24,5/2/2015,17:16,42.90885,-68.4743,42.92338,-68.4834
2015,24151,11,361_2,36,515,SMOOTH,TENACIOUS II,5/2/2015,20:03:00,5/2/2015,20:14,5/2/2015,22:23,5/2/2015,23:05,43.16054,-68.3651,43.14514,-68.359
2015,24151,12,360-4,36,515,ROUGH,TENACIOUS II,5/3/2015,8:42:00,5/3/2015,8:52,5/3/2015,10:57,5/3/2015,11:41,43.21587,-68.4261,43.2037,-68.4123
2015,24151,13,360-6,36,515,ROUGH,TENACIOUS II,5/3/2015,14:33:00,5/3/2015,14:44,5/3/2015,16:47,5/3/2015,17:34,43.0132,-68.3465,43.02484,-68.3621
2015,24151,14,371-2,37,515,SMOOTH,TENACIOUS II,5/3/2015,20:50:00,5/3/2015,21:00,5/3/2015,23:08,5/3/2015,23:45,42.82699,-68.6169,42.81121,-68.6193
2015,24151,15,280-2,28,515,ROUGH,TENACIOUS II,5/5/2015,22:38:00,5/5/2015,22:48,5/6/2015,12:52,5/6/2015,1:36,42.37133,-69.5407,42.38741,-69.5417
2015,24151,16,290-4,29,515,ROUGH,TENACIOUS II,5/6/2015,10:26:00,5/6/2015,10:35,5/6/2015,12:41,5/6/2015,13:21,42.46275,-67.9976,42.44816,-67.9851
2015,24151,17,290-2,29,515,ROUGH,TENACIOUS II,5/6/2015,16:35:00,5/6/2015,16:45,5/6/2015,18:57,5/6/2015,19:40,42.34388,-67.8486,42.35557,-67.8663
2015,24151,18,291-1,29,515,SMOOTH,TENACIOUS II,5/6/2015,22:40:00,5/6/2015,22:51,5/7/2015,12:51,5/7/2015,1:41,42.39863,-67.8155,42.41477,-67.8184
2015,24151,19,290-6,29,515,ROUGH,TENACIOUS II,5/7/2015,11:20:00,5/7/2015,11:31,5/7/2015,13:32,5/7/2015,14:19,42.35319,-67.7991,42.33796,-67.7956
2015,24151,20,290-1,29,522,ROUGH,TENACIOUS II,5/7/2015,17:17:00,5/7/2015,17:28,5/7/2015,19:37,5/7/2015,20:20,42.26385,-67.9818,42.27921,-67.9892
