"","stat_area","tow_id","survey","year","month","day","doy","tow_duration","lat","lon","catch_n","vessel","area_swept"
"1",526,"198002.265.1110.1","BTS",1980,4,18,109,NA,40.016667,-69.633333,0,"DE",0.038
"2",526,"198002.266.1110.2","BTS",1980,4,19,110,NA,40.05,-69.216667,0,"DE",0.038
"3",526,"198002.267.1100.7","BTS",1980,4,19,110,NA,40.166667,-69.466667,0,"DE",0.038
"4",526,"198002.268.1100.6","BTS",1980,4,19,110,NA,40.25,-69.716667,0,"DE",0.038
"5",526,"198002.271.1100.1","BTS",1980,4,19,110,NA,40.55,-69.9,0,"DE",0.038
"6",526,"198002.272.1090.9","BTS",1980,4,19,110,NA,40.65,-69.9,0,"DE",0.038
"7",526,"198002.273.1100.8","BTS",1980,4,19,110,NA,40.566667,-69.65,0,"DE",0.038
"8",526,"198002.274.1090.10","BTS",1980,4,19,110,NA,40.6,-69.433333,0,"DE",0.038
"9",526,"198002.275.1090.5","BTS",1980,4,19,110,NA,40.75,-69.4,0,"DE",0.038
"10",521,"198002.280.1250.2","BTS",1980,4,20,111,NA,41.2,-69.3,0,"DE",0.038
"11",521,"198002.281.1250.1","BTS",1980,4,20,111,NA,41.433333,-69.466667,0,"DE",0.038
"12",521,"198002.285.1230.1","BTS",1980,4,21,112,NA,41.816667,-69.833333,0,"DE",0.038
"13",521,"198002.286.1240.6","BTS",1980,4,21,112,NA,41.85,-69.716667,0,"DE",0.038
"14",521,"198002.287.1230.3","BTS",1980,4,21,112,NA,41.933333,-69.8,0,"DE",0.038
"15",521,"198002.288.1270.4","BTS",1980,4,21,112,NA,42.1,-69.783333,2,"DE",0.038
"16",521,"198002.289.1260.3","BTS",1980,4,21,112,NA,42.1,-69.966667,0,"DE",0.038
"17",514,"198002.291.1260.5","BTS",1980,4,21,112,NA,42.1,-70.35,0,"DE",0.038
"18",514,"198002.300.1260.4","BTS",1980,4,22,113,NA,42.333333,-70.566667,0,"DE",0.038
"19",514,"198002.301.1260.1","BTS",1980,4,22,113,NA,42.366667,-70.516667,0,"DE",0.038
"20",514,"198002.302.1260.2","BTS",1980,4,22,113,NA,42.466667,-70.166667,0,"DE",0.038
"21",514,"198002.303.1270.3","BTS",1980,4,22,113,NA,42.733333,-70,1,"DE",0.038
"22",514,"198002.304.1270.2","BTS",1980,4,22,113,NA,42.816667,-69.983333,0,"DE",0.038
"23",514,"198002.306.1400.1","BTS",1980,4,22,113,NA,42.783333,-70.633333,0,"DE",0.038
"24",513,"198002.308.1400.2","BTS",1980,4,22,113,NA,42.866667,-70.466667,0,"DE",0.038
"25",513,"198002.309.1370.1","BTS",1980,4,23,114,NA,43.216667,-69.883333,0,"DE",0.038
"26",513,"198002.310.1270.1","BTS",1980,4,23,114,NA,43.383333,-70.033333,0,"DE",0.038
"27",513,"198002.311.1380.1","BTS",1980,4,23,114,NA,43.383333,-69.916667,0,"DE",0.038
"28",513,"198002.312.1380.3","BTS",1980,4,23,114,NA,43.433333,-69.366667,0,"DE",0.038
"29",513,"198002.313.1380.2","BTS",1980,4,24,115,NA,43.266667,-69.666667,1,"DE",0.038
"30",513,"198002.314.1370.2","BTS",1980,4,24,115,NA,43.1,-69.716667,1,"DE",0.038
"31",513,"198002.315.1370.5","BTS",1980,4,24,115,NA,43.066667,-69.566667,0,"DE",0.038
"32",513,"198002.316.1370.3","BTS",1980,4,24,115,NA,42.85,-69.533333,0,"DE",0.038
"33",515,"198002.317.1280.5","BTS",1980,4,24,115,NA,42.666667,-69.55,0,"DE",0.038
"34",515,"198002.318.1370.4","BTS",1980,4,24,115,NA,42.7,-69.3,0,"DE",0.038
"35",515,"198002.319.1280.1","BTS",1980,4,24,115,NA,42.583333,-69.216667,0,"DE",0.038
"36",521,"198002.320.1280.2","BTS",1980,4,24,115,NA,42.216667,-69.45,3,"DE",0.038
"37",521,"198002.321.1280.4","BTS",1980,4,24,115,NA,41.933333,-69.383333,0,"DE",0.038
"38",521,"198002.322.1280.6","BTS",1980,4,25,116,NA,42.083333,-69.633333,2,"DE",0.038
"39",521,"198002.323.1280.3","BTS",1980,4,25,116,NA,42.216667,-69.75,0,"DE",0.038
"40",515,"198002.324.1280.7","BTS",1980,5,1,122,NA,42.55,-68.783333,3,"DE",0.038
"41",515,"198002.325.1290.4","BTS",1980,5,1,122,NA,42.466667,-68.366667,2,"DE",0.038
"42",522,"198002.326.1290.7","BTS",1980,5,1,122,NA,42.2,-68.316667,4,"DE",0.038
"43",522,"198002.327.1290.1","BTS",1980,5,1,122,NA,42.266667,-68.216667,2,"DE",0.038
