"","V1","V2"
"1",39.75,-71
"2",39.75,-70.95
"3",39.75,-70.9
"4",39.75,-70.85
"5",39.75,-70.8
"6",39.75,-70.75
"7",39.75,-70.7
"8",39.75,-70.65
"9",39.75,-70.6
"10",39.75,-70.55
"11",39.75,-70.5
"12",39.75,-70.45
"13",39.75,-70.4
"14",39.75,-70.35
"15",39.75,-70.3
"16",39.75,-70.25
"17",39.75,-70.2
"18",39.75,-70.15
"19",39.75,-70.1
"20",39.75,-70.05
"21",39.75,-70
"22",39.75,-69.95
"23",39.75,-69.9
"24",39.75,-69.85
"25",39.75,-69.8
"26",39.75,-69.75
"27",39.75,-69.7
"28",39.75,-69.65
"29",39.75,-69.6
"30",39.75,-69.55
"31",39.75,-69.5
"32",39.75,-69.45
"33",39.75,-69.4
"34",39.75,-69.35
"35",39.75,-69.3
"36",39.75,-69.25
"37",39.75,-69.2
"38",39.75,-69.15
"39",39.75,-69.1
"40",39.75,-69.05
"41",39.75,-69
"42",39.75,-68.95
"43",39.75,-68.9
"44",39.75,-68.85
"45",39.75,-68.8
"46",39.75,-68.75
"47",39.75,-68.7
"48",39.75,-68.65
"49",39.75,-68.6
"50",39.75,-68.55
"51",39.75,-68.5
"52",39.75,-68.45
"53",39.75,-68.4
"54",39.75,-68.35
"55",39.75,-68.3
"56",39.75,-68.25
"57",39.75,-68.2
"58",39.75,-68.15
"59",39.75,-68.1
"60",39.75,-68.05
"61",39.75,-68
"62",39.75,-67.95
"63",39.75,-67.9
"64",39.75,-67.85
"65",39.75,-67.8
"66",39.75,-67.75
"67",39.75,-67.7
"68",39.75,-67.65
"69",39.75,-67.6
"70",39.75,-67.55
"71",39.75,-67.5
"72",39.75,-67.45
"73",39.75,-67.4
"74",39.75,-67.35
"75",39.75,-67.3
"76",39.75,-67.25
"77",39.75,-67.2
"78",39.75,-67.15
"79",39.75,-67.1
"80",39.75,-67.05
"81",39.75,-67
"82",39.75,-66.95
"83",39.75,-66.9
"84",39.75,-66.85
"85",39.75,-66.8
"86",39.75,-66.75
"87",39.75,-66.7
"88",39.75,-66.65
"89",39.75,-66.6
"90",39.75,-66.55
"91",39.75,-66.5
"92",39.75,-66.45
"93",39.75,-66.4
"94",39.75,-66.35
"95",39.75,-66.3
"96",39.75,-66.25
"97",39.75,-66.2
"98",39.75,-66.15
"99",39.75,-66.1
"100",39.75,-66.05
"101",39.75,-66
"102",39.75,-65.95
"103",39.75,-65.9
"104",39.75,-65.85
"105",39.75,-65.8
"106",39.75,-65.75
"107",39.75,-65.7
"108",39.75,-65.65
"109",39.75,-65.6
"110",39.75,-65.55
"111",39.75,-65.5
"112",39.8,-71
"113",39.8,-70.95
"114",39.8,-70.9
"115",39.8,-70.85
"116",39.8,-70.8
"117",39.8,-70.75
"118",39.8,-70.7
"119",39.8,-70.65
"120",39.8,-70.6
"121",39.8,-70.55
"122",39.8,-70.5
"123",39.8,-70.45
"124",39.8,-70.4
"125",39.8,-70.35
"126",39.8,-70.3
"127",39.8,-70.25
"128",39.8,-70.2
"129",39.8,-70.15
"130",39.8,-70.1
"131",39.8,-70.05
"132",39.8,-70
"133",39.8,-69.95
"134",39.8,-69.9
"135",39.8,-69.85
"136",39.8,-69.8
"137",39.8,-69.75
"138",39.8,-69.7
"139",39.8,-69.65
"140",39.8,-69.6
"141",39.8,-69.55
"142",39.8,-69.5
"143",39.8,-69.45
"144",39.8,-69.4
"145",39.8,-69.35
"146",39.8,-69.3
"147",39.8,-69.25
"148",39.8,-69.2
"149",39.8,-69.15
"150",39.8,-69.1
"151",39.8,-69.05
"152",39.8,-69
"153",39.8,-68.95
"154",39.8,-68.9
"155",39.8,-68.85
"156",39.8,-68.8
"157",39.8,-68.75
"158",39.8,-68.7
"159",39.8,-68.65
"160",39.8,-68.6
"161",39.8,-68.55
"162",39.8,-68.5
"163",39.8,-68.45
"164",39.8,-68.4
"165",39.8,-68.35
"166",39.8,-68.3
"167",39.8,-68.25
"168",39.8,-68.2
"169",39.8,-68.15
"170",39.8,-68.1
"171",39.8,-68.05
"172",39.8,-68
"173",39.8,-67.95
"174",39.8,-67.9
"175",39.8,-67.85
"176",39.8,-67.8
"177",39.8,-67.75
"178",39.8,-67.7
"179",39.8,-67.65
"180",39.8,-67.6
"181",39.8,-67.55
"182",39.8,-67.5
"183",39.8,-67.45
"184",39.8,-67.4
"185",39.8,-67.35
"186",39.8,-67.3
"187",39.8,-67.25
"188",39.8,-67.2
"189",39.8,-67.15
"190",39.8,-67.1
"191",39.8,-67.05
"192",39.8,-67
"193",39.8,-66.95
"194",39.8,-66.9
"195",39.8,-66.85
"196",39.8,-66.8
"197",39.8,-66.75
"198",39.8,-66.7
"199",39.8,-66.65
"200",39.8,-66.6
"201",39.8,-66.55
"202",39.8,-66.5
"203",39.8,-66.45
"204",39.8,-66.4
"205",39.8,-66.35
"206",39.8,-66.3
"207",39.8,-66.25
"208",39.8,-66.2
"209",39.8,-66.15
"210",39.8,-66.1
"211",39.8,-66.05
"212",39.8,-66
"213",39.8,-65.95
"214",39.8,-65.9
"215",39.8,-65.85
"216",39.8,-65.8
"217",39.8,-65.75
"218",39.8,-65.7
"219",39.8,-65.65
"220",39.8,-65.6
"221",39.8,-65.55
"222",39.8,-65.5
"223",39.85,-71
"224",39.85,-70.95
"225",39.85,-70.9
"226",39.85,-70.85
"227",39.85,-70.8
"228",39.85,-70.75
"229",39.85,-70.7
"230",39.85,-70.65
"231",39.85,-70.6
"232",39.85,-70.55
"233",39.85,-70.5
"234",39.85,-70.45
"235",39.85,-70.4
"236",39.85,-70.35
"237",39.85,-70.3
"238",39.85,-70.25
"239",39.85,-70.2
"240",39.85,-70.15
"241",39.85,-70.1
"242",39.85,-70.05
"243",39.85,-70
"244",39.85,-69.95
"245",39.85,-69.9
"246",39.85,-69.85
"247",39.85,-69.8
"248",39.85,-69.75
"249",39.85,-69.7
"250",39.85,-69.65
"251",39.85,-69.6
"252",39.85,-69.55
"253",39.85,-69.5
"254",39.85,-69.45
"255",39.85,-69.4
"256",39.85,-69.35
"257",39.85,-69.3
"258",39.85,-69.25
"259",39.85,-69.2
"260",39.85,-69.15
"261",39.85,-69.1
"262",39.85,-69.05
"263",39.85,-69
"264",39.85,-68.95
"265",39.85,-68.9
"266",39.85,-68.85
"267",39.85,-68.8
"268",39.85,-68.75
"269",39.85,-68.7
"270",39.85,-68.65
"271",39.85,-68.6
"272",39.85,-68.55
"273",39.85,-68.5
"274",39.85,-68.45
"275",39.85,-68.4
"276",39.85,-68.35
"277",39.85,-68.3
"278",39.85,-68.25
"279",39.85,-68.2
"280",39.85,-68.15
"281",39.85,-68.1
"282",39.85,-68.05
"283",39.85,-68
"284",39.85,-67.95
"285",39.85,-67.9
"286",39.85,-67.85
"287",39.85,-67.8
"288",39.85,-67.75
"289",39.85,-67.7
"290",39.85,-67.65
"291",39.85,-67.6
"292",39.85,-67.55
"293",39.85,-67.5
"294",39.85,-67.45
"295",39.85,-67.4
"296",39.85,-67.35
"297",39.85,-67.3
"298",39.85,-67.25
"299",39.85,-67.2
"300",39.85,-67.15
"301",39.85,-67.1
"302",39.85,-67.05
"303",39.85,-67
"304",39.85,-66.95
"305",39.85,-66.9
"306",39.85,-66.85
"307",39.85,-66.8
"308",39.85,-66.75
"309",39.85,-66.7
"310",39.85,-66.65
"311",39.85,-66.6
"312",39.85,-66.55
"313",39.85,-66.5
"314",39.85,-66.45
"315",39.85,-66.4
"316",39.85,-66.35
"317",39.85,-66.3
"318",39.85,-66.25
"319",39.85,-66.2
"320",39.85,-66.15
"321",39.85,-66.1
"322",39.85,-66.05
"323",39.85,-66
"324",39.85,-65.95
"325",39.85,-65.9
"326",39.85,-65.85
"327",39.85,-65.8
"328",39.85,-65.75
"329",39.85,-65.7
"330",39.85,-65.65
"331",39.85,-65.6
"332",39.85,-65.55
"333",39.85,-65.5
"334",39.9,-71
"335",39.9,-70.95
"336",39.9,-70.9
"337",39.9,-70.85
"338",39.9,-70.8
"339",39.9,-70.75
"340",39.9,-70.7
"341",39.9,-70.65
"342",39.9,-70.6
"343",39.9,-70.55
"344",39.9,-70.5
"345",39.9,-70.45
"346",39.9,-70.4
"347",39.9,-70.35
"348",39.9,-70.3
"349",39.9,-70.25
"350",39.9,-70.2
"351",39.9,-70.15
"352",39.9,-70.1
"353",39.9,-70.05
"354",39.9,-70
"355",39.9,-69.95
"356",39.9,-69.9
"357",39.9,-69.85
"358",39.9,-69.8
"359",39.9,-69.75
"360",39.9,-69.7
"361",39.9,-69.65
"362",39.9,-69.6
"363",39.9,-69.55
"364",39.9,-69.5
"365",39.9,-69.45
"366",39.9,-69.4
"367",39.9,-69.35
"368",39.9,-69.3
"369",39.9,-69.25
"370",39.9,-69.2
"371",39.9,-69.15
"372",39.9,-69.1
"373",39.9,-69.05
"374",39.9,-69
"375",39.9,-68.95
"376",39.9,-68.9
"377",39.9,-68.85
"378",39.9,-68.8
"379",39.9,-68.75
"380",39.9,-68.7
"381",39.9,-68.65
"382",39.9,-68.6
"383",39.9,-68.55
"384",39.9,-68.5
"385",39.9,-68.45
"386",39.9,-68.4
"387",39.9,-68.35
"388",39.9,-68.3
"389",39.9,-68.25
"390",39.9,-68.2
"391",39.9,-68.15
"392",39.9,-68.1
"393",39.9,-68.05
"394",39.9,-68
"395",39.9,-67.95
"396",39.9,-67.9
"397",39.9,-67.85
"398",39.9,-67.8
"399",39.9,-67.75
