"","stat_area","tow_id","survey","year","month","day","doy","tow_duration","lat","lon","catch_n","catch_n_f","catch_n_m","catch_n_a","catch_n_j","vessel","area_swept"
"1",513,"FL00.1","ME",2000,10,30,304,17,43.0215,-70.5658,15,7,8,13,2,"ME",11.22
"2",513,"FL00.10","ME",2000,11,3,308,20,43.4209,-70.2942,165,66,99,95,70,"ME",15.8
"3",513,"FL00.11","ME",2000,11,3,308,20,43.5055,-70.3494,2,1,1,1,1,"ME",18.8
"4",513,"FL00.12","ME",2000,11,4,309,20,43.512,-70.1943,170,89,81,80,90,"ME",17
"5",513,"FL00.13","ME",2000,11,4,309,20,43.3987,-70.2338,44,22,22,28,16,"ME",18.6
"6",513,"FL00.14","ME",2000,11,4,309,18,43.4058,-70.138,3,1,2,3,0,"ME",13.32
"7",513,"FL00.16","ME",2000,11,4,309,20,43.5177,-70.1136,129,70,59,73,56,"ME",19.6
"8",513,"FL00.17","ME",2000,11,6,311,20,43.6487,-70.0962,149,82,67,73,76,"ME",19
"9",513,"FL00.18","ME",2000,11,6,311,20,43.725,-69.9106,3,2,1,2,1,"ME",23
"10",513,"FL00.19","ME",2000,11,7,312,20,43.5986,-69.875,35,19,16,31,4,"ME",20.2
"11",513,"FL00.2","ME",2000,10,30,304,20,43.002,-70.5171,14,5,9,14,0,"ME",16.4
"12",513,"FL00.20","ME",2000,11,7,312,20,43.6476,-69.8064,106,54,52,98,8,"ME",22.8
"13",513,"FL00.21","ME",2000,11,7,312,20,43.7114,-69.7724,17,9,8,12,5,"ME",15.4
"14",513,"FL00.22","ME",2000,11,8,313,20,43.7935,-69.6454,113,55,58,38,75,"ME",17.4
"15",513,"FL00.23","ME",2000,11,8,313,20,43.742,-69.6499,449,246,203,298,151,"ME",15.2
"16",513,"FL00.24","ME",2000,11,8,313,20,43.5411,-69.6942,1,1,0,1,0,"ME",18.6
"17",513,"FL00.25","ME",2000,11,8,313,18,43.6245,-69.6013,8,7,1,8,0,"ME",16.2
"18",513,"FL00.26","ME",2000,11,9,314,16,43.8046,-69.5291,575,309,266,289,286,"ME",9.28
"19",513,"FL00.27","ME",2000,11,9,314,18,43.8251,-69.4877,239,156,83,147,92,"ME",12.42
"20",513,"FL00.28","ME",2000,11,9,314,18,43.904,-69.456,12,7,5,4,8,"ME",13.86
