"","stat_area","tow_id","survey","year","month","day","doy","tow_duration","lat","lon","catch_n","catch_n_f","catch_n_m","catch_n_a","catch_n_j","vessel","area_swept"
"1",513,"SP01.10","ME",2001,4,25,115,17,43.2783,-70.3802,26,10,16,23,3,"ME",10.54
"2",511,"SP01.100","ME",2001,5,23,143,20,44.4822,-67.3225,17,12,5,11,6,"ME",20.6
"3",511,"SP01.101","ME",2001,5,23,143,20,44.5894,-67.282,85,50,35,33,52,"ME",17.2
"4",511,"SP01.102","ME",2001,5,23,143,20,44.6051,-67.3563,38,18,20,31,7,"ME",16.2
"5",511,"SP01.103","ME",2001,5,23,143,18,44.5423,-67.5018,63,42,21,38,25,"ME",13.5
"6",511,"SP01.104","ME",2001,5,24,144,20,44.4251,-67.1332,2,1,1,2,0,"ME",15.4
"7",511,"SP01.106","ME",2001,5,24,144,11,44.6993,-67.0459,8,5,3,6,2,"ME",7.7
"8",511,"SP01.107","ME",2001,5,24,144,20,44.6618,-67.0857,27,12,15,21,6,"ME",19.2
"9",467,"SP01.108","ME",2001,5,25,145,20,44.7117,-66.9519,2,2,0,2,0,"ME",18.2
"10",513,"SP01.11","ME",2001,4,25,115,20,43.2494,-70.3459,40,16,24,38,2,"ME",13.4
"11",511,"SP01.110","ME",2001,5,25,145,20,44.7137,-67.0976,43,22,21,35,8,"ME",21.2
"12",511,"SP01.111","ME",2001,5,25,145,20,44.684,-67.1283,34,20,14,28,6,"ME",20.2
"13",513,"SP01.12","ME",2001,4,26,116,21,43.2607,-70.5398,15,9,6,9,6,"ME",18.27
"14",513,"SP01.13","ME",2001,4,26,116,20,43.2949,-70.4953,17,3,14,13,4,"ME",14.4
"15",513,"SP01.14","ME",2001,4,26,116,20,43.4343,-70.3116,3,1,2,3,0,"ME",14.4
"16",513,"SP01.15","ME",2001,4,26,116,17,43.456,-70.257,17,17,0,13,4,"ME",11.73
"17",513,"SP01.16","ME",2001,4,27,117,20,43.3997,-70.1286,6,2,4,6,0,"ME",14.4
"18",513,"SP01.17","ME",2001,4,27,117,20,43.3874,-70.2391,38,23,15,33,5,"ME",13.2
"19",513,"SP01.18","ME",2001,4,27,117,20,43.4224,-70.2908,74,39,35,51,23,"ME",15.6
"20",513,"SP01.19","ME",2001,4,27,117,20,43.4634,-70.2536,78,42,36,44,34,"ME",14.6
"21",513,"SP01.2","ME",2001,4,23,113,20,42.8902,-70.6854,20,12,8,16,4,"ME",14.8
"22",513,"SP01.20","ME",2001,4,27,117,20,43.5317,-70.2783,1,1,0,0,1,"ME",15
"23",513,"SP01.21","ME",2001,4,27,117,20,43.5033,-70.2047,123,53,70,77,46,"ME",15.2
"24",513,"SP01.22","ME",2001,4,30,120,20,43.5279,-70.0179,11,3,8,11,0,"ME",15.4
"25",513,"SP01.23","ME",2001,4,30,120,20,43.6585,-70.0847,42,25,17,19,23,"ME",16.8
"26",513,"SP01.24","ME",2001,4,30,120,20,43.7266,-70.1596,6,2,4,4,2,"ME",18.8
"27",513,"SP01.25","ME",2001,5,1,121,20,43.6669,-69.9737,326,169,157,148,178,"ME",15.6
"28",513,"SP01.26","ME",2001,5,1,121,17,43.6901,-69.8886,13,5,8,12,1,"ME",11.9
"29",513,"SP01.27","ME",2001,5,1,121,20,43.6668,-69.9112,208,118,90,106,102,"ME",18.2
"30",513,"SP01.28","ME",2001,5,1,121,20,43.6025,-69.8713,20,7,13,12,8,"ME",15.2
"31",513,"SP01.29","ME",2001,5,1,121,20,43.5808,-69.8088,1,1,0,1,0,"ME",15.8
"32",513,"SP01.3","ME",2001,4,23,113,20,42.932,-70.7506,1,0,1,1,0,"ME",15.6
"33",513,"SP01.30","ME",2001,5,1,121,20,43.6351,-69.7553,4,3,1,4,0,"ME",19.2
"34",513,"SP01.31","ME",2001,5,2,122,20,43.6992,-69.7452,49,22,27,43,6,"ME",19
"35",513,"SP01.32","ME",2001,5,2,122,20,43.6495,-69.8041,11,5,6,11,0,"ME",17.6
"36",513,"SP01.34","ME",2001,5,2,122,20,43.7545,-69.6477,64,30,34,35,29,"ME",16.8
"37",513,"SP01.35","ME",2001,5,2,122,21,43.8061,-69.6433,2,2,0,0,2,"ME",17.64
"38",513,"SP01.36","ME",2001,5,3,123,20,43.9143,-69.447,65,37,28,26,39,"ME",18.2
"39",513,"SP01.37","ME",2001,5,3,123,20,43.8217,-69.488,41,20,21,20,21,"ME",16.4
"40",513,"SP01.38","ME",2001,5,3,123,18,43.8176,-69.451,32,17,15,26,6,"ME",13.5
"41",513,"SP01.39","ME",2001,5,3,123,21,43.7488,-69.4735,3,3,0,1,2,"ME",18.27
"42",513,"SP01.4","ME",2001,4,23,113,20,42.9899,-70.6442,2,1,1,1,1,"ME",16
"43",513,"SP01.40","ME",2001,5,3,123,20,43.8579,-69.5279,28,13,15,18,10,"ME",17.2
"44",513,"SP01.41","ME",2001,5,4,124,20,43.9053,-69.3391,36,23,13,23,13,"ME",16
"45",513,"SP01.42","ME",2001,5,4,124,20,43.7644,-69.3909,12,6,6,9,3,"ME",17.4
"46",513,"SP01.43","ME",2001,5,4,124,17,43.6774,-69.3777,1,1,0,1,0,"ME",11.05
"47",513,"SP01.44","ME",2001,5,4,124,20,43.8005,-69.5445,98,52,46,34,64,"ME",16
"48",512,"SP01.45","ME",2001,5,7,127,15,43.8856,-69.183,37,19,18,32,5,"ME",9.75
"49",512,"SP01.46","ME",2001,5,7,127,20,43.9214,-69.1311,373,167,206,288,85,"ME",15.6
"50",512,"SP01.47","ME",2001,5,7,127,14,43.8619,-69.0843,84,52,32,67,17,"ME",7.28
"51",512,"SP01.48","ME",2001,5,7,127,14,43.8619,-69.0339,120,56,64,76,44,"ME",7.42
"52",512,"SP01.49","ME",2001,5,8,128,20,44.1309,-68.967,12,7,5,10,2,"ME",16.4
"53",513,"SP01.5","ME",2001,4,24,114,20,42.9601,-70.4636,3,2,1,3,0,"ME",15.6
"54",512,"SP01.51","ME",2001,5,8,128,21,44.2895,-68.8848,1,1,0,1,0,"ME",18.69
"55",512,"SP01.53","ME",2001,5,8,128,19,44.2329,-68.9854,3,0,3,3,0,"ME",15.77
"56",512,"SP01.54","ME",2001,5,8,128,20,44.1854,-68.991,2,1,1,2,0,"ME",17.2
"57",513,"SP01.55","ME",2001,5,9,129,16,43.5817,-69.0914,1,0,1,1,0,"ME",10.4
"58",512,"SP01.56","ME",2001,5,9,129,20,43.6156,-68.937,1,1,0,1,0,"ME",17.4
"59",512,"SP01.57","ME",2001,5,10,130,19,43.9325,-68.865,14,6,8,13,1,"ME",15.77
"60",512,"SP01.58","ME",2001,5,10,130,16,43.9789,-68.71,12,6,6,12,0,"ME",10.4
"61",512,"SP01.59","ME",2001,5,10,130,20,44.1116,-68.7837,85,45,40,70,15,"ME",15.6
"62",513,"SP01.6","ME",2001,4,24,114,21,42.9595,-70.5217,20,6,14,18,2,"ME",15.96
"63",512,"SP01.60","ME",2001,5,10,130,20,44.2554,-68.7942,1,0,1,1,0,"ME",15.4
"64",512,"SP01.61","ME",2001,5,10,130,20,44.13,-68.7464,297,150,147,236,61,"ME",17.4
"65",512,"SP01.62","ME",2001,5,11,131,20,43.7727,-68.7237,5,4,1,5,0,"ME",17.8
"66",512,"SP01.63","ME",2001,5,11,131,20,43.8965,-68.6694,3,2,1,3,0,"ME",16.4
"67",512,"SP01.64","ME",2001,5,14,134,21,43.9133,-68.7531,13,9,4,11,2,"ME",18.48
"68",512,"SP01.65","ME",2001,5,14,134,17,43.9104,-68.6221,4,1,3,4,0,"ME",14.11
"69",512,"SP01.66","ME",2001,5,14,134,16,43.9186,-68.6456,6,5,1,6,0,"ME",13.6
"70",512,"SP01.67","ME",2001,5,14,134,20,44.001,-68.4697,5,3,2,5,0,"ME",15.8
"71",512,"SP01.68","ME",2001,5,14,134,16,44.1307,-68.4829,151,63,88,127,24,"ME",9.6
"72",512,"SP01.69","ME",2001,5,15,135,16,44.1675,-68.5296,198,78,120,159,39,"ME",9.76
