"","yr","prop.ovlp"
"1",1980,0.2892
"2",1981,0.2574
"3",1982,0.2585
"4",1983,0.2743
"5",1984,0.2614
"6",1985,0.2874
"7",1986,0.2926
"8",1987,0.2942
"9",1988,0.2859
"10",1989,0.2752
"11",1990,0.3065
"12",1991,0.2915
"13",1992,0.3351
"14",1993,0.3435
"15",1994,0.2882
"16",1995,0.2906
"17",1996,0.2837
"18",1997,0.2734
"19",1998,0.2853
"20",1999,0.2634
"21",2000,0.2953
"22",2001,0.2828
"23",2002,0.2617
"24",2003,0.2915
"25",2004,0.3057
"26",2005,0.2818
"27",2006,0.2838
"28",2007,0.3078
"29",2008,0.2536
"30",2009,0.2695
"31",2010,0.2646
"32",2011,0.2773
"33",2012,0.2804
"34",2013,0.2776
